;;;
Support Local Broadcast Manager;androidx.localbroadcastmanager:localbroadcastmanager:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support Print;androidx.print:print:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Timber (Android);com.jakewharton.timber:timber-android:5.0.0-SNAPSHOT;Apache-2.0;https://github.com/JakeWharton/timber
Timber (JDK);com.jakewharton.timber:timber-jdk:5.0.0-SNAPSHOT;Apache-2.0;https://github.com/JakeWharton/timber
Timber (Common);com.jakewharton.timber:timber-common:5.0.0-SNAPSHOT;Apache-2.0;https://github.com/JakeWharton/timber
Compose Util;androidx.compose.ui:ui-util:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-ui#1.1.0-rc01
AndroidX Futures;androidx.concurrent:concurrent-futures:1.0.0;Apache-2.0;https://developer.android.com/topic/libraries/architecture/index.html
Guava ListenableFuture only;com.google.guava:listenablefuture:1.0;Apache-2.0;https://github.com/google/guava
androidx.profileinstaller:profileinstaller;androidx.profileinstaller:profileinstaller:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/profileinstaller#1.1.0-rc01
Android App Startup Runtime;androidx.startup:startup-runtime:1.0.0;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/startup#1.0.0
Android Tracing;androidx.tracing:tracing:1.0.0;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/tracing#1.0.0
AndroidX Autofill;androidx.autofill:autofill:1.0.0;Apache-2.0;https://developer.android.com/jetpack/androidx
Collections Kotlin Extensions;androidx.collection:collection-ktx:1.1.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Dynamic animation Kotlin Extensions;androidx.dynamicanimation:dynamicanimation-ktx:1.0.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx
Support DynamicAnimation;androidx.dynamicanimation:dynamicanimation:1.1.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx
okhttp-logging-interceptor;com.squareup.okhttp3:logging-interceptor:4.9.0;Apache-2.0;https://square.github.io/okhttp/
Converter: Moshi;com.squareup.retrofit2:converter-moshi:2.9.0;Apache-2.0;https://github.com/square/retrofit
Moshi;com.squareup.moshi:moshi:1.13.0;Apache-2.0;https://github.com/square/moshi/
Retrofit;com.squareup.retrofit2:retrofit:2.9.0;Apache-2.0;https://github.com/square/retrofit
Accompanist Drawable Painter library;com.google.accompanist:accompanist-drawablepainter:0.19.0;Apache-2.0;https://github.com/google/accompanist/
Parcelize Runtime;org.jetbrains.kotlin:kotlin-parcelize-runtime:1.5.30;Apache-2.0;https://kotlinlang.org/
Kotlin Android Extensions Runtime;org.jetbrains.kotlin:kotlin-android-extensions-runtime:1.5.30;Apache-2.0;https://kotlinlang.org/
Support ExifInterface;androidx.exifinterface:exifinterface:1.3.3;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/exifinterface#1.3.3
Android Emoji2 Compat view helpers;androidx.emoji2:emoji2-views-helper:1.0.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/emoji2#1.0.0-alpha03
Android Emoji2 Compat;androidx.emoji2:emoji2:1.0.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/emoji2#1.0.0-alpha03
Android Lifecycle Process;androidx.lifecycle:lifecycle-process:2.4.0-alpha02;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/lifecycle#2.4.0-alpha02
Android Resource Inspection - Annotations;androidx.resourceinspection:resourceinspection-annotation:1.0.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/resourceinspection#1.0.0-alpha03
AboutLibraries Library;com.mikepenz:aboutlibraries-core-android:10.0.0-b08;Apache-2.0;https://github.com/mikepenz/AboutLibraries
